original,tok_sent,drug_roa_phrase,roa_detail_1,roa_detail_2,roa_detail_3
Concentrate Solution for Injection (IV),concentrate solution for injection iv,for injection iv,['iv'],['injection'],
Powder For Injection (I.V),powder for injection iv,for injection iv,['iv'],['injection'],
Lyophilized Powder for IV Infusion,lyophilized powder for iv infusion,for iv infusion,['iv'],['infusion'],
Powder For Intravenous Injection,powder for intravenous injection,for intravenous injection,['intravenous'],['injection'],
Syrup;Suspension;Suspension,syrupsuspensionsuspension,,,,
Solution For I.V Infusion,solution for iv infusion,for iv infusion,['iv'],['infusion'],
Tablets,tablets,,,,
Softgel Capsules,softgel capsules,,,,
"Solution for Injection or 
Concentrate for Solution for Infusion (I.M./I.V.)",solution for injection or concentrate for solution for infusion im iv,for injection or concentrate for solution for infusion im iv,"['im', 'iv']","['infusion', 'injection']",concentrate
Sterile Ophthalmic Drops,sterile ophthalmic drops,,,,
Controlled Release Capsule,controlled release capsule,,,,
Powder for Injection (IM / IV),powder for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Powder for Injection IM,powder for injection im,for injection im,['im'],['injection'],
Film coated tablet,film coated tablet,,,,
Solution for SC/IV Injection/Infusion,solution for sc iv injection infusion,for sc iv injection infusion,"['sc', 'iv']","['infusion', 'injection']",
Eye Drops Solution,eye drops solution,,,,
Concentrate For Solution For IV Infusion,concentrate for solution for iv infusion,for solution for iv infusion,['iv'],['infusion'],solution
Oral Rinse Solution,oral rinse solution,,,,
Lyophilized Powder for IV  Injection,lyophilized powder for iv injection,for iv injection,['iv'],['injection'],
Ophthalmic Suspension (Eye Drops),ophthalmic suspension eye drops,,,,
film coated tablet,film coated tablet,,,,
Opththalmic Suspensio (eye Drops),opththalmic suspensio eye drops,,,,
Effervescent Granules,effervescent granules,,,,
Pfi (I.M. / I.V.),pfi im iv,,,,
Lyophilized Powder For Injection (I.M./I.V.),lyophilized powder for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Sterile Otic Solution(Ear Drops),sterile otic solutionear drops,,,,
Nasal Solution (Spray),nasal solution spray,,,,
Concentrate Solution for I.V. Infusion,concentrate solution for iv infusion,for iv infusion,['iv'],['infusion'],
Sterile Ophthalmic Suspension (Eye Drops),sterile ophthalmic suspension eye drops,,,,
See Formulation On Reverse Side,see formulation on reverse side,,,,
Modified- Release Tablet,modified- release tablet,,,,
Sterile Powder For Injection (IV),sterile powder for injection iv,for injection iv,['iv'],['injection'],
Sterile Powder For Injection (I.V.),sterile powder for injection iv,for injection iv,['iv'],['injection'],
Prolonged Release Capsule,prolonged release capsule,,,,
Solution For I.V. Injection,solution for iv injection,for iv injection,['iv'],['injection'],
Sodium Chloride Solution for Intravenous Infusion,sodium chloride solution for intravenous infusion,for intravenous infusion,['intravenous'],['infusion'],
Fine Granules,fine granules,,,,
Hard Capsule,hard capsule,,,,
Sol for Injection (IV/IV Infusion),sol for injection iv iv infusion,for injection iv iv infusion,['iv'],"['infusion', 'injection']",
Powder for Injection (I.M.),powder for injection im,for injection im,['im'],['injection'],
TABLET,tablet,,,,
Solution For Injection I.M./I.V.),solution for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Powder for injection (I.M./I.V.),powder for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Dry Powder Inhalation In Capsule,dry powder inhalation in capsule,,,,
Oral Powder For Suspension,oral powder for suspension,for suspension,[],['suspension'],suspension
Solution for injection ( IV Infusion),solution for injection iv infusion,for injection iv infusion,['iv'],"['infusion', 'injection']",
Modified-Release Capsule,modified-release capsule,,,,
Solution for Im Injection,solution for im injection,for im injection,['im'],['injection'],
Concentrate Solution For IV Infusion,concentrate solution for iv infusion,for iv infusion,['iv'],['infusion'],
Transderma Patch,transderma patch,,,,
Lyophilized Powder For Injection (IV Infusion),lyophilized powder for injection iv infusion,for injection iv infusion,['iv'],"['infusion', 'injection']",
Powder for oral Suspension,powder for oral suspension,for oral suspension,['oral'],['suspension'],suspension
SUPPOSITORY,suppository,,,,
Controlled Release Tablet,controlled release tablet,,,,
Solution For Injection For I.V. Infusion,solution for injection for iv infusion,for injection for iv infusion,['iv'],"['infusion', 'injection']",
Powder for Oral Inhalation,powder for oral inhalation,for oral inhalation,['oral'],['inhalation'],
Microsphere Gel,microsphere gel,,,,
Powder for I.V. Infusion,powder for iv infusion,for iv infusion,['iv'],['infusion'],
Antibacterial (Fluoroquinolone),antibacterial fluoroquinolone,,,,
Powder for Intravenous Injection (I.V.),powder for intravenous injection iv,for intravenous injection iv,"['intravenous', 'iv']",['injection'],
Opthalmic Solution ( Drops ),opthalmic solution drops,,,,
Concentrate Solution For Infusion,concentrate solution for infusion,for infusion,[],['infusion'],
Powder For Injection  (IM),powder for injection im,for injection im,['im'],['injection'],
Effervescent Granules For Solution,effervescent granules for solution,for solution,[],[],solution
Sustained- Release Tablet,sustained- release tablet,,,,
Solution For Intravenous Injection,solution for intravenous injection,for intravenous injection,['intravenous'],['injection'],
Powder For Iv Injection,powder for iv injection,for iv injection,['iv'],['injection'],
Solutiuon For Intravenous Infusion,solutiuon for intravenous infusion,for intravenous infusion,['intravenous'],['infusion'],
Nasal Spray Solution,nasal spray solution,,,,
Emulsion for Injection (I.V.),emulsion for injection iv,for injection iv,['iv'],['injection'],
"Solution for Intravenous 
Infusion",solution for intravenous infusion,for intravenous infusion,['intravenous'],['infusion'],
Lyophilized Powder for IV Injection,lyophilized powder for iv injection,for iv injection,['iv'],['injection'],
Lyophilized Powder for I.V. Infusion,lyophilized powder for iv infusion,for iv infusion,['iv'],['infusion'],
Sterile Water for Injection (IM/IV),sterile water for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Powder For Injection + Solution For Injection,powder for injection solution for injection,for injection solution for injection,[],['injection'],solution
Solution Spray,solution spray,,,,
Controlled-Release Capsule,controlled-release capsule,,,,
Lyophilized Powder for Injection (I.M./I.V.),lyophilized powder for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Prolonged Release Suspension For Injection (IM),prolonged release suspension for injection im,for injection im,['im'],['injection'],
Solution for Injection (I.V),solution for injection iv,for injection iv,['iv'],['injection'],
Fat Emulsion for Infusion (I.V.),fat emulsion for infusion iv,for infusion iv,['iv'],['infusion'],
Fat Emulsion For Iv Infusion,fat emulsion for iv infusion,for iv infusion,['iv'],['infusion'],
Powder For Injection (IV/SC),powder for injection iv sc,for injection iv sc,"['sc', 'iv']",['injection'],
Enteric Coated Capsule,enteric coated capsule,,,,
Powder for Oral Injection,powder for oral injection,for oral injection,['oral'],['injection'],
Capsule (see reverse for formulation),capsule see reverse for formulation,for formulation,[],[],
Softgel Caspule,softgel caspule,,,,
Solutionn for IV Infusion,solutionn for iv infusion,for iv infusion,['iv'],['infusion'],
Lyophilized Powder For Injection (Iv Infusion),lyophilized powder for injection iv infusion,for injection iv infusion,['iv'],"['infusion', 'injection']",
Caplet,caplet,,,,
OTIC SOLUTION,otic solution,,,,
Soft Gelatin Capsule,soft gelatin capsule,,,,
Orally Distintegrating Tablet,orally distintegrating tablet,,,,
Solution for Injection / Infusion,solution for injection infusion,for injection infusion,[],"['infusion', 'injection']",
Concentrate Solution (IV),concentrate solution iv,,,,
"Concentrate Solution for 
IV Infusion",concentrate solution for iv infusion,for iv infusion,['iv'],['infusion'],
Solution for Injection (Local Infiltration),solution for injection local infiltration,for injection local infiltration,['local'],['injection'],
Buffered Solution Nasal Drops,buffered solution nasal drops,,,,
Solution for injection (IV/IM/SC),solution for injection iv im sc,for injection iv im sc,"['im', 'sc', 'iv']",['injection'],
Nasal Solution (Drops),nasal solution drops,,,,
Lyophilized Powder For I.V Infusion,lyophilized powder for iv infusion,for iv infusion,['iv'],['infusion'],
Lyophilized Powder For IV Infusion,lyophilized powder for iv infusion,for iv infusion,['iv'],['infusion'],
Solution For injection (Im/Iv),solution for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Medicated Plaster,medicated plaster,,,,
Monitored-Release Tablet,monitored-release tablet,,,,
Soft Gelatin Capsule For Vaginal Use,soft gelatin capsule for vaginal use,for vaginal use,['vaginal'],[],
Modified-Release Vaginal Suppository,modified-release vaginal suppository,,,,
Solution  for Injection (IV),solution for injection iv,for injection iv,['iv'],['injection'],
Powder Fo Suspension (Oral Drops),powder fo suspension oral drops,,,,
Powder For Injection (IM),powder for injection im,for injection im,['im'],['injection'],
Film Coated tablet,film coated tablet,,,,
POWDER FOR INJECTION (IM/IV),powder for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Chewable tablet,chewable tablet,,,,
Sustained-release Tablet,sustained-release tablet,,,,
Emulsion For IV Infusion,emulsion for iv infusion,for iv infusion,['iv'],['infusion'],
POWDER FOR INJECTION,powder for injection,for injection,[],['injection'],
Oral Disintegrating Tablet,oral disintegrating tablet,,,,
Concentrate for Solution for Injection (I. V.),concentrate for solution for injection i v,for solution for injection i v,[],['injection'],solution
Lyophilized Powder For Injection  Iv Infusion,lyophilized powder for injection iv infusion,for injection iv infusion,['iv'],"['infusion', 'injection']",
FILM COATED TABLET,film coated tablet,,,,
Concentrate For Solution For Iv Infusion,concentrate for solution for iv infusion,for solution for iv infusion,['iv'],['infusion'],solution
Solution For Irrigation,solution for irrigation,for irrigation,[],[],
Eye Drops,eye drops,,,,
Soln For Inhalation,soln for inhalation,for inhalation,[],['inhalation'],
Granules for suspension,granules for suspension,for suspension,[],['suspension'],suspension
Metered Dose Inhaler (Cfc-Free),metered dose inhaler cfc-free,,,,
Sterile Suspension (Intratracheal/Intrabronchial),sterile suspension intratracheal intrabronchial,,,,
ENTERIC-COATED TABLET,enteric-coated tablet,,,,
Freeze-Dried Powder for Injection,freeze-dried powder for injection,for injection,[],['injection'],
Subdermal Implant,subdermal implant,,,,
Powder For oral Suspension (oral Drops),powder for oral suspension oral drops,for oral suspension oral drops,['oral'],['suspension'],suspension
Delayed Release Capsule,delayed release capsule,,,,
Powder For Injection  Iv,powder for injection iv,for injection iv,['iv'],['injection'],
Concentrate Solution For I.V. Infusion,concentrate solution for iv infusion,for iv infusion,['iv'],['infusion'],
Granules For Oral Solution,granules for oral solution,for oral solution,['oral'],[],solution
Powder For I.V. Injection,powder for iv injection,for iv injection,['iv'],['injection'],
Powder for I.V. Injection,powder for iv injection,for iv injection,['iv'],['injection'],
Powder For Injection (Im/ Iv),powder for injection im iv,for injection im iv,"['im', 'iv']",['injection'],
Delayed-Release Tablet :,delayed-release tablet,,,,
Powder For injection (Iv),powder for injection iv,for injection iv,['iv'],['injection'],
Solution For Peripheral Venous Infusion,solution for peripheral venous infusion,for peripheral venous infusion,['peripheral'],['infusion'],
Solution For Injecion (I.V),solution for injecion iv,for injecion iv,['iv'],[],
Solution For (Iv) Injection,solution for iv injection,for iv injection,['iv'],['injection'],
Buffered Solution Nasal Spray,buffered solution nasal spray,,,,
Opthalmic Solution Drops,opthalmic solution drops,,,,
Solution For Injection (I.M./S.C.),solution for injection im sc,for injection im sc,"['im', 'sc']",['injection'],
Dry powder for Inhalation,dry powder for inhalation,for inhalation,[],['inhalation'],
Concentrate Sterile Solution For Iv Infusion,concentrate sterile solution for iv infusion,for iv infusion,['iv'],['infusion'],
Lyophilized Powder for Injection I.V. Infusion,lyophilized powder for injection iv infusion,for injection iv infusion,['iv'],"['infusion', 'injection']",
Solution for Injection (I.V Infusion),solution for injection iv infusion,for injection iv infusion,['iv'],"['infusion', 'injection']",
Solution For Injection (IM/IV/SC,solution for injection im iv sc,for injection im iv sc,"['im', 'sc', 'iv']",['injection'],
