original,tok_sent,drug_form_phrase,drug_roa_phrase,form_format,roa_format,roa_detail_1,roa_detail_2
ophthalmic solution,ophthalmic solution,ophthalmic solution,,solution,,[],[]
Solution for Irrigation,solution for irrigation,solution,irrigation,solution,,[],[]
Lyophilized Powder For Intravenous Injection And Infusion,lyophilized powder for intravenous injection and infusion,lyophilized powder,intravenous injection and infusion,powder,,['intravenous'],"['injection', 'infusion']"
Powder For Injection (I.V./I.M.),powder for injection iv im,powder,injection iv im,powder,,"['im', 'iv']",['injection']
Syrup (Grape Flavor),syrup grape flavor,syrup grape flavor,,syrup,,[],[]
Vaginal Tablet,vaginal tablet,vaginal tablet,,tablet,,[],[]
"Film-Coated Tablet( contains Sustained- Release Verapamil layer and 
Immediate-Release Trandolapril layer )",film-coated tablet contains sustained- release verapamil layer and immediate-release trandolapril layer,film-coated tablet contains sustained- release verapamil layer and immediate-release trandolapril layer,,tablet,,[],[]
Liquid for Inhalation,liquid for inhalation,liquid,inhalation,liquid,,[],['inhalation']
Emulsion for Infusion (IV),emulsion for infusion iv,emulsion,infusion iv,emulsion,,['iv'],['infusion']
Powder for Solution for Intratracheal Infusion,powder for solution for intratracheal infusion,powder,solution for intratracheal infusion,powder,solution,['intratracheal'],['infusion']
Lyophilized Sterile Powder For Injection (Iv),lyophilized sterile powder for injection iv,lyophilized sterile powder,injection iv,powder,,['iv'],['injection']
Intavenous injection,intavenous injection,intavenous injection,,,,[],[]
Concentrate Solution for IV Infusion,concentrate solution for iv infusion,concentrate solution,iv infusion,concentrate,,['iv'],['infusion']
Concentrate For Intravenous Infusion,concentrate for intravenous infusion,concentrate,intravenous infusion,concentrate,,['intravenous'],['infusion']
Concentrate Solution,concentrate solution,concentrate solution,,concentrate,,[],[]
Sterile Ophthalmic Solution(Drops),sterile ophthalmic solutiondrops,sterile ophthalmic solutiondrops,,,,[],[]
Sterile Powder for Injection (IM/IV),sterile powder for injection im iv,sterile powder,injection im iv,powder,,"['im', 'iv']",['injection']
Sustained Release Capsule,sustained release capsule,sustained release capsule,,capsule,,[],[]
Solution for IV Infusion (),solution for iv infusion,solution,iv infusion,solution,,['iv'],['infusion']
Film-Coated tablet,film-coated tablet,film-coated tablet,,tablet,,[],[]
Lyophilized Powder Injection (IV),lyophilized powder injection iv,lyophilized powder injection iv,,powder,,[],[]
Otic Solution (Drops),otic solution drops,otic solution drops,,solution,,[],[]
Suppository (Rectal),suppository rectal,suppository rectal,,suppository,,[],[]
Powder For Injection (Iv Infusion),powder for injection iv infusion,powder,injection iv infusion,powder,,['iv'],"['injection', 'infusion']"
Water for Injection,water for injection,water,injection,,,[],['injection']
Concentrate for Solution for Injection (IV),concentrate for solution for injection iv,concentrate,solution for injection iv,concentrate,solution,['iv'],['injection']
Suspension for Injection (1.M.),suspension for injection m,suspension,injection m,suspension,,[],['injection']
Solution for Injection (IM/IV/IA),solution for injection im iv ia,solution,injection im iv ia,solution,,"['ia', 'im', 'iv']",['injection']
Prolonged Release Film-Coated Tablet,prolonged release film-coated tablet,prolonged release film-coated tablet,,tablet,,[],[]
Solution for Injection/Infusion,solution for injection infusion,solution,injection infusion,solution,,[],"['injection', 'infusion']"
Syrup (COLA Flavor),syrup cola flavor,syrup cola flavor,,syrup,,[],[]
Powder for Injection (I.V./I.M.),powder for injection iv im,powder,injection iv im,powder,,"['im', 'iv']",['injection']
Lozenge,lozenge,lozenge,,lozenge,,[],[]
Lyophilized Powder For Iv Infusion,lyophilized powder for iv infusion,lyophilized powder,iv infusion,powder,,['iv'],['infusion']
Delayed Release Tablet,delayed release tablet,delayed release tablet,,tablet,,[],[]
Transdermal patch,transdermal patch,transdermal patch,,patch,,[],[]
Flim-Coated Tablet,flim-coated tablet,flim-coated tablet,,tablet,,[],[]
Soln For Inj (Im/Iv),soln for inj im iv,soln,inj im iv,soln,,"['im', 'iv']",['inj']
Powder For Suspension Oral Drops,powder for suspension oral drops,powder,suspension oral drops,powder,suspension,['oral'],['suspension']
Solution For Injection In Pre-Filled Syringe,solution for injection in pre-filled syringe,solution,injection in pre-filled syringe,solution,,[],['injection']
Fim-Coated Tablet,fim-coated tablet,fim-coated tablet,,tablet,,[],[]
Astringent Solution,astringent solution,astringent solution,,solution,,[],[]
Solution For Injection (Iv/Ia),solution for injection iv ia,solution,injection iv ia,solution,,"['ia', 'iv']",['injection']
Adult Solution (Oral Drops),adult solution oral drops,adult solution oral drops,,solution,,[],[]
Solution For Injection/ 125 Mg/Ml (500 Mg/4 Ml),solution for injection mg ml mg ml,solution,injection mg ml mg ml,solution,,[],['injection']
Delayed-Release Capsule,delayed-release capsule,delayed-release capsule,,capsule,,[],[]
Sterile Ophthalmic Solution [Benzalkonium chloride (BAK) Free Formula],sterile ophthalmic solution benzalkonium chloride bak free formula,sterile ophthalmic solution benzalkonium chloride bak free formula,,solution,,[],[]
Sterile Opthalmic Solution,sterile opthalmic solution,sterile opthalmic solution,,solution,,[],[]
Oil-In-Water Emulsion For Injection (Iv Infusion),oil-in-water emulsion for injection iv infusion,oil-in-water emulsion,injection iv infusion,oil,,['iv'],"['injection', 'infusion']"
O/W Emulsion for Injection (IV/IV Infusion),o w emulsion for injection iv iv infusion,o w emulsion,injection iv iv infusion,emulsion,,['iv'],"['injection', 'infusion']"
Opthalmic Solution,opthalmic solution,opthalmic solution,,solution,,[],[]
Sterile Solution For Injection Im/Iv,sterile solution for injection im iv,sterile solution,injection im iv,solution,,"['im', 'iv']",['injection']
Emulsion For Iv Infusion,emulsion for iv infusion,emulsion,iv infusion,emulsion,,['iv'],['infusion']
Dry Powder for Inhalation in Capsule,dry powder for inhalation in capsule,dry powder,inhalation in capsule,powder,capsule,[],['inhalation']
Sterile Opthalmic Solution (Eye Drops),sterile opthalmic solution eye drops,sterile opthalmic solution eye drops,,solution,,[],[]
Lyophilized Powder,lyophilized powder,lyophilized powder,,powder,,[],[]
Solution For Injection Im/Iv,solution for injection im iv,solution,injection im iv,solution,,"['im', 'iv']",['injection']
Solution For Injection (Ia/Iv),solution for injection ia iv,solution,injection ia iv,solution,,"['ia', 'iv']",['injection']
Sterile Suspension for IM Injection,sterile suspension for im injection,sterile suspension,im injection,suspension,,['im'],['injection']
Powder for Injection (M/IV),powder for injection m iv,powder,injection m iv,powder,,['iv'],['injection']
Steril Solution For Injection,steril solution for injection,steril solution,injection,solution,,[],['injection']
Sterile Solution For Injection,sterile solution for injection,sterile solution,injection,solution,,[],['injection']
Pediatric Granules,pediatric granules,pediatric granules,,granules,,[],[]
Sterile Solution Ophthalmic Dye,sterile solution ophthalmic dye,sterile solution ophthalmic dye,,solution,,[],[]
Powder for Injection (I.M./ I.V.),powder for injection im iv,powder,injection im iv,powder,,"['im', 'iv']",['injection']
Sachet Oral Powder,sachet oral powder,sachet oral powder,,sachet,,[],[]
Emteric Coated Tablet,emteric coated tablet,emteric coated tablet,,tablet,,[],[]
Powder for injection (IV Infusion),powder for injection iv infusion,powder,injection iv infusion,powder,,['iv'],"['injection', 'infusion']"
"Tablet, extended release",tablet extended release,tablet extended release,,tablet,,[],[]
Soln. For Infusion (I.V.),soln for infusion iv,soln,infusion iv,soln,,['iv'],['infusion']
I.V. Solution,iv solution,iv solution,,solution,,[],[]
Volatile Liquid for Inhalation,volatile liquid for inhalation,volatile liquid,inhalation,liquid,,[],['inhalation']
Solution for IV Infusion (Isotonic with 0.9% Sodium Chloride),solution for iv infusion isotonic with sodium chloride,solution,iv infusion isotonic with sodium chloride,solution,,"['isotonic', 'iv']",['infusion']
Granules,granules,granules,,granules,,[],[]
Solution for Intravenous Injection (I.V.),solution for intravenous injection iv,solution,intravenous injection iv,solution,,"['intravenous', 'iv']",['injection']
CREAM,cream,cream,,cream,,[],[]
Metered Dose Inhaler (Cfc Free),metered dose inhaler cfc free,metered dose inhaler cfc free,,inhaler,,[],[]
Powder For Injetion (Im/Iv),powder for injetion im iv,powder,injetion im iv,powder,,"['im', 'iv']",[]
Sterile Ophthalmic Solution (eye drops),sterile ophthalmic solution eye drops,sterile ophthalmic solution eye drops,,solution,,[],[]
Lipid Complex Suspension for Injection (IV),lipid complex suspension for injection iv,lipid complex suspension,injection iv,suspension,,['iv'],['injection']
DELAYED-RELEASE CAPSULE,delayed-release capsule,delayed-release capsule,,capsule,,[],[]
Suspension For Nasal Spray,suspension for nasal spray,suspension,nasal spray,suspension,spray,['nasal'],[]
Powder for I.M/I.V.,powder for im iv,powder,im iv,powder,,"['im', 'iv']",[]
Solution for Intravenous Infusion (IV),solution for intravenous infusion iv,solution,intravenous infusion iv,solution,,"['intravenous', 'iv']",['infusion']
Normal Saline Solution,normal saline solution,normal saline solution,,solution,,[],[]
Sterile Water for Injection (Solution),sterile water for injection solution,sterile water,injection solution,,solution,[],['injection']
Lyophilized Powder For I.V. Infusion,lyophilized powder for iv infusion,lyophilized powder,iv infusion,powder,,['iv'],['infusion']
Granules For Suspesion (Drops),granules for suspesion drops,granules,suspesion drops,granules,drops,[],[]
Oral Lyophilisate,oral lyophilisate,oral lyophilisate,,lyophilisate,,[],[]
Film coated Tablet,film coated tablet,film coated tablet,,tablet,,[],[]
ointment,ointment,ointment,,ointment,,[],[]
Sterile Opthalmic Suspension,sterile opthalmic suspension,sterile opthalmic suspension,,suspension,,[],[]
concentrated solution for iv infusion,concentrated solution for iv infusion,concentrated solution,iv infusion,solution,,['iv'],['infusion']
Sterile Powder For Injection,sterile powder for injection,sterile powder,injection,powder,,[],['injection']
Gastro-Resistant Granules For Oral Suspension,gastro-resistant granules for oral suspension,gastro-resistant granules,oral suspension,granules,suspension,['oral'],['suspension']
Throat Spray,throat spray,throat spray,,spray,,[],[]
Granules for Suspension (Orange Flavor),granules for suspension orange flavor,granules,suspension orange flavor,granules,suspension,[],['suspension']
Granules For Oral Injection,granules for oral injection,granules,oral injection,granules,,['oral'],['injection']
Powder For Injection (I.M./I.V),powder for injection im iv,powder,injection im iv,powder,,"['im', 'iv']",['injection']
Powder for Oral Drops,powder for oral drops,powder,oral drops,powder,drops,['oral'],[]
Lyophilized Powder For Injection (I.V. Infusion),lyophilized powder for injection iv infusion,lyophilized powder,injection iv infusion,powder,,['iv'],"['injection', 'infusion']"
Lyophilized Powder For Injection (I.V. ),lyophilized powder for injection iv,lyophilized powder,injection iv,powder,,['iv'],['injection']
Metered Dose Nasal Spray,metered dose nasal spray,metered dose nasal spray,,spray,,[],[]
Concentrate Solution for Injection (IV),concentrate solution for injection iv,concentrate solution,injection iv,concentrate,,['iv'],['injection']
Powder For Injection (I.V),powder for injection iv,powder,injection iv,powder,,['iv'],['injection']
Lyophilized Powder for IV Infusion,lyophilized powder for iv infusion,lyophilized powder,iv infusion,powder,,['iv'],['infusion']
Powder For Intravenous Injection,powder for intravenous injection,powder,intravenous injection,powder,,['intravenous'],['injection']
Syrup;Suspension;Suspension,syrupsuspensionsuspension,syrupsuspensionsuspension,,,,[],[]
Solution For I.V Infusion,solution for iv infusion,solution,iv infusion,solution,,['iv'],['infusion']
Tablets,tablets,tablets,,tablets,,[],[]
Softgel Capsules,softgel capsules,softgel capsules,,capsules,,[],[]
"Solution for Injection or 
Concentrate for Solution for Infusion (I.M./I.V.)",solution for injection or concentrate for solution for infusion im iv,solution,injection or concentrate for solution for infusion im iv,solution,concentrate,"['im', 'iv']","['injection', 'infusion']"
Sterile Ophthalmic Drops,sterile ophthalmic drops,sterile ophthalmic drops,,drops,,[],[]
Controlled Release Capsule,controlled release capsule,controlled release capsule,,capsule,,[],[]
Powder for Injection (IM / IV),powder for injection im iv,powder,injection im iv,powder,,"['im', 'iv']",['injection']
Powder for Injection IM,powder for injection im,powder,injection im,powder,,['im'],['injection']
Film coated tablet,film coated tablet,film coated tablet,,tablet,,[],[]
Solution for SC/IV Injection/Infusion,solution for sc iv injection infusion,solution,sc iv injection infusion,solution,,"['sc', 'iv']","['injection', 'infusion']"
Eye Drops Solution,eye drops solution,eye drops solution,,drops,,[],[]
Concentrate For Solution For IV Infusion,concentrate for solution for iv infusion,concentrate,solution for iv infusion,concentrate,solution,['iv'],['infusion']
